id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
22	frustaci (2018)	"<table><tr><td>Authors:</td><td>frustaci, mario; pace, pasquale; aloi, gianluca; fortino, giancarlo</td></tr><tr><td>Title:</td><td>evaluating critical security issues of the iot world: present and future challenges</td></tr><tr><td>Source:</td><td>ieee internet of things journal, 5(4), 2483-2495</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1109/jiot.2017.2767291	0.7665	-0.2007	1	89	145	518	17.4555	2018	518	17.4555
23	salah (2019)	"<table><tr><td>Authors:</td><td>salah, khaled; rehman, m. habib ur; nizamuddin, nishara; al-fuqaha, ala</td></tr><tr><td>Title:</td><td>blockchain for ai: review and open research challenges</td></tr><tr><td>Source:</td><td>ieee access, 7, 10127-10149</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1109/access.2018.2890507	0.6964	-0.2257	1	74	144	503	17.8162	2019	503	17.8162
24	hatcher (2018)	"<table><tr><td>Authors:</td><td>hatcher, william grant; yu, wei</td></tr><tr><td>Title:</td><td>a survey of deep learning: platforms, applications and emerging research trends</td></tr><tr><td>Source:</td><td>ieee access, 6, 24411-24432</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1109/access.2018.2830661	0.9848	0.0042	1	203	337	408	13.7487	2018	408	13.7487
25	ding (2019a)	"<table><tr><td>Authors:</td><td>ding, derui; han, qing-long; wang, zidong; ge, xiaohua</td></tr><tr><td>Title:</td><td>a survey on model-based distributed control and filtering for industrial cyber-physical systems</td></tr><tr><td>Source:</td><td>ieee transactions on industrial informatics, 15(5), 2483-2499</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1109/tii.2019.2905295	-0.7745	0.5072	2	151	279	357	12.6449	2019	357	12.6449
32	you (2021)	"<table><tr><td>Authors:</td><td>you, xiaohu; wang, cheng-xiang; huang, jie; gao, xiqi; zhang, zaichen; wang, mao; huang, yongming; zhang, chuan; jiang, yanxiang; wang, jiaheng; zhu, min; sheng, bin; wang, dongming; pan, zhiwen; zhu, pengcheng; yang, yang; liu, zening; zhang, ping; tao, xiaofeng; li, shaoqian; chen, zhi; ma, xinying; chih-lin, i.; han, shuangfeng; li, ke; pan, chengkang; zheng, zhimin; hanzo, lajos; shen, xuemin; guo, yingjie jay; ding, zhiguo; haas, harald; tong, wen; zhu, peiying; yang, ganghua; wang, jun; larsson, erik g.; ngo, hien quoc; hong, wei; wang, haiming; hou, debin; chen, jixin; chen, zhe; hao, zhangcheng; li, geoffrey ye; tafazolli, rahim; gao, yue; poor, h. vincent; fettweis, gerhard p.; liang, ying-chang</td></tr><tr><td>Title:</td><td>towards 6g wireless communication networks: vision, enabling technologies, and new paradigm shifts</td></tr><tr><td>Source:</td><td>science china information sciences, 64(1)</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1007/s11432-020-2955-6	0.662	-0.1059	1	61	90	828	41.5848	2021	828	41.5848
36	mosenia (2017)	"<table><tr><td>Authors:</td><td>mosenia, arsalan; jha, niraj k.</td></tr><tr><td>Title:</td><td>a comprehensive study of security of internet-of-things</td></tr><tr><td>Source:</td><td>ieee transactions on emerging topics in computing, 5(4), 586-602</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1109/tetc.2016.2606384	0.7401	-0.1285	1	213	392	450	13.7078	2017	450	13.7078
37	buczak (2016)	"<table><tr><td>Authors:</td><td>buczak, anna l.; guven, erhan</td></tr><tr><td>Title:</td><td>a survey of data mining and machine learning methods for cyber security intrusion detection</td></tr><tr><td>Source:</td><td>ieee communications surveys and tutorials, 18(2), 1153-1176</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1109/comst.2015.2494502	1.0784	0.024	1	158	332	1776	55.3629	2016	1776	55.3629
40	ding (2018)	"<table><tr><td>Authors:</td><td>ding, derui; han, qing-long; xiang, yang; ge, xiaohua; zhang, xian-ming</td></tr><tr><td>Title:</td><td>a survey on security control and attack detection for industrial cyber-physical systems</td></tr><tr><td>Source:</td><td>neurocomputing, 275, 1674-1683</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.neucom.2017.10.009	-0.7959	0.4495	2	479	1435	646	21.7688	2018	646	21.7688
41	mo (2012)	"<table><tr><td>Authors:</td><td>mo, yilin; kim, tiffany hyun-jin; brancik, kenneth; dickinson, dona; lee, heejo; perrig, adrian; sinopoli, bruno</td></tr><tr><td>Title:</td><td>cyber-physical security of a smart grid infrastructure</td></tr><tr><td>Source:</td><td>proceedings of the ieee, 100(1), 195-209</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1109/jproc.2011.2161428	-0.7038	-0.2602	4	208	295	852	20.533	2012	852	20.533
43	manandhar (2014)	"<table><tr><td>Authors:</td><td>manandhar, kebina; cao, xiaojun; hu, fei; liu, yao</td></tr><tr><td>Title:</td><td>detection of faults and attacks including false data injection attack in smart grid using kalman filter</td></tr><tr><td>Source:</td><td>ieee transactions on control of network systems, 1(4), 370-379</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1109/tcns.2014.2357531	-0.7411	-0.2088	4	188	245	534	15.5749	2014	534	15.5749
45	kabalci (2016)	"<table><tr><td>Authors:</td><td>kabalci, yasin</td></tr><tr><td>Title:</td><td>a survey on smart metering and smart grid communication</td></tr><tr><td>Source:</td><td>renewable and sustainable energy reviews, 57, 302-318</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.rser.2015.12.114	-0.2877	-0.2456	4	233	488	433	13.4978	2016	433	13.4978
46	ferrag (2020a)	"<table><tr><td>Authors:</td><td>ferrag, mohamed amine; maglaras, leandros; moschoyiannis, sotiris; janicke, helge</td></tr><tr><td>Title:</td><td>deep learning for cyber security intrusion detection: approaches, datasets, and comparative study</td></tr><tr><td>Source:</td><td>journal of information security and applications, 50</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.jisa.2019.102419	1.1873	-0.0317	1	272	735	496	20.2834	2020	496	20.2834
47	sridhar (2012)	"<table><tr><td>Authors:</td><td>sridhar, siddharth; hahn, adam; govindarasu, manimaran</td></tr><tr><td>Title:</td><td>cyber-physical system security for the electric power grid</td></tr><tr><td>Source:</td><td>proceedings of the ieee, 100(1), 210-224</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1109/jproc.2011.2165269	-0.633	-0.2963	4	199	279	888	21.4006	2012	888	21.4006
49	humayed (2017)	"<table><tr><td>Authors:</td><td>humayed, abdulmalik; lin, jingqiang; li, fengjun; luo, bo</td></tr><tr><td>Title:</td><td>cyber-physical systems security - a survey</td></tr><tr><td>Source:</td><td>ieee internet of things journal, 4(6), 1802-1831</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1109/jiot.2017.2703172	-0.17	-0.0909	4	542	1260	625	19.0386	2017	625	19.0386
52	cherdantseva (2016)	"<table><tr><td>Authors:</td><td>cherdantseva, yulia; burnap, pete; blyth, andrew; eden, peter; jones, kevin; soulsby, hugh; stoddart, kristan</td></tr><tr><td>Title:</td><td>a review of cyber security risk assessment methods for scada systems</td></tr><tr><td>Source:</td><td>computers and security, 56, 1-27</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.cose.2015.09.009	-0.0065	0.0718	4	122	177	411	12.812	2016	411	12.812
53	yan (2012)	"<table><tr><td>Authors:</td><td>yan, ye; qian, yi; sharif, hamid; tipper, david</td></tr><tr><td>Title:</td><td>a survey on cyber security for smart grid communications</td></tr><tr><td>Source:</td><td>ieee communications surveys and tutorials, 14(4), 998-1010</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1109/surv.2012.010912.00035	-0.3301	-0.2317	4	122	189	508	12.2427	2012	508	12.2427
56	deng (2017a)	"<table><tr><td>Authors:</td><td>deng, ruilong; xiao, gaoxi; lu, rongxing; liang, hao; vasilakos, athanasios v.</td></tr><tr><td>Title:</td><td>false data injection on state estimation in power systems-attacks, impacts, and defense: a survey</td></tr><tr><td>Source:</td><td>ieee transactions on industrial informatics, 13(2), 411-423</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1109/tii.2016.2614396	-0.961	-0.3588	3	438	1548	381	11.6059	2017	381	11.6059
58	esmalifalak (2017)	"<table><tr><td>Authors:</td><td>esmalifalak, mohammad; liu, lanchao; nguyen, nam; zheng, rong; han, zhu</td></tr><tr><td>Title:</td><td>detecting stealthy false data injection using machine learning in smart grid</td></tr><tr><td>Source:</td><td>ieee systems journal, 11(3), 1644-1652</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1109/jsyst.2014.2341597	-0.8176	-0.3611	3	251	386	364	11.0881	2017	364	11.0881
59	biggio (2018)	"<table><tr><td>Authors:</td><td>biggio, battista; roli, fabio</td></tr><tr><td>Title:</td><td>wild patterns: ten years after the rise of adversarial machine learning</td></tr><tr><td>Source:</td><td>pattern recognition, 84, 317-331</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.patcog.2018.07.023	1.062	0.1475	1	53	184	721	24.2962	2018	721	24.2962
60	liu (2019a)	"<table><tr><td>Authors:</td><td>liu, hongyu; lang, bo</td></tr><tr><td>Title:</td><td>machine learning and deep learning methods for intrusion detection systems: a survey</td></tr><tr><td>Source:</td><td>applied sciences (switzerland), 9(20)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.3390/app9204396	1.1964	0.0227	1	236	452	410	14.5222	2019	410	14.5222
61	kim (2012)	"<table><tr><td>Authors:</td><td>kim, kyoung-dae; kumar, p.r.</td></tr><tr><td>Title:</td><td>cyber-physical systems: a perspective at the centennial</td></tr><tr><td>Source:</td><td>proceedings of the ieee, 100(spl content), 1287-1308</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1109/jproc.2012.2189792	-0.2872	0.2256	2	158	225	599	14.4358	2012	599	14.4358
62	abomhara (2015)	"<table><tr><td>Authors:</td><td>abomhara, mohamed; køien, geir m.</td></tr><tr><td>Title:</td><td>cyber security and the internet of things: vulnerabilities, threats, intruders and attacks</td></tr><tr><td>Source:</td><td>journal of cyber security and mobility, 4(1), 65-88</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.13052/jcsm2245-1439.414	0.6973	-0.1531	1	119	187	381	10.011	2015	381	10.011
63	meneghello (2019)	"<table><tr><td>Authors:</td><td>meneghello, francesca; calore, matteo; zucchetto, daniel; polese, michele; zanella, andrea</td></tr><tr><td>Title:</td><td>iot: internet of threats? a survey of practical security vulnerabilities in real iot devices</td></tr><tr><td>Source:</td><td>ieee internet of things journal, 6(5), 8182-8201</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1109/jiot.2019.2935189	0.8008	-0.1838	1	147	268	408	14.4513	2019	408	14.4513
64	ngu (2017)	"<table><tr><td>Authors:</td><td>ngu, anne h.; gutierrez, mario; metsis, vangelis; nepal, surya; sheng, quan z.</td></tr><tr><td>Title:</td><td>iot middleware: a survey on issues and enabling technologies</td></tr><tr><td>Source:</td><td>ieee internet of things journal, 4(1), 1-20</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1109/jiot.2016.2615180	0.7609	-0.1752	1	92	153	517	15.7487	2017	517	15.7487
66	mishra (2019)	"<table><tr><td>Authors:</td><td>mishra, preeti; varadharajan, vijay; tupakula, uday; pilli, emmanuel s.</td></tr><tr><td>Title:</td><td>a detailed investigation and analysis of using machine learning techniques for intrusion detection</td></tr><tr><td>Source:</td><td>ieee communications surveys and tutorials, 21(1), 686-728</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1109/comst.2018.2847722	1.1034	0.0289	1	224	604	366	12.9637	2019	366	12.9637
67	ali (2019)	"<table><tr><td>Authors:</td><td>ali, muhammad salek; vecchio, massimo; pincheira, miguel; dolui, koustabh; antonelli, fabio; rehmani, mubashir husain</td></tr><tr><td>Title:</td><td>applications of blockchains in the internet of things: a comprehensive survey</td></tr><tr><td>Source:</td><td>ieee communications surveys and tutorials, 21(2), 1676-1717</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1109/comst.2018.2886932	0.711	-0.2248	1	170	482	526	18.6309	2019	526	18.6309
68	mitchell (2014)	"<table><tr><td>Authors:</td><td>mitchell, robert; chen, ing-ray</td></tr><tr><td>Title:</td><td>a survey of intrusion detection techniques for cyber-physical systems</td></tr><tr><td>Source:</td><td>acm computing surveys, 46(4)</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1145/2542049	0.6427	0.0879	1	139	214	503	14.6707	2014	503	14.6707
70	vinayakumar (2019)	"<table><tr><td>Authors:</td><td>vinayakumar, r.; alazab, mamoun; soman, k.p.; poornachandran, prabaharan; al-nemrat, ameer; venkatraman, sitalakshmi</td></tr><tr><td>Title:</td><td>deep learning approach for intelligent intrusion detection system</td></tr><tr><td>Source:</td><td>ieee access, 7, 41525-41550</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1109/access.2019.2895334	1.155	0.0171	1	211	451	824	29.1861	2019	824	29.1861
72	khraisat (2019)	"<table><tr><td>Authors:</td><td>khraisat, ansam; gondal, iqbal; vamplew, peter; kamruzzaman, joarder</td></tr><tr><td>Title:</td><td>survey of intrusion detection systems: techniques, datasets and challenges</td></tr><tr><td>Source:</td><td>cybersecurity, 2(1)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1186/s42400-019-0038-7	1.026	0.0166	1	389	748	656	23.2355	2019	656	23.2355
73	wang (2013a)	"<table><tr><td>Authors:</td><td>wang, wenye; lu, zhuo</td></tr><tr><td>Title:</td><td>cyber security in the smart grid: survey and challenges</td></tr><tr><td>Source:</td><td>computer networks, 57(5), 1344-1371</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.comnet.2012.12.017	-0.3478	-0.2705	4	251	500	818	20.8581	2013	818	20.8581
74	pasqualetti (2013)	"<table><tr><td>Authors:</td><td>pasqualetti, fabio; dorfler, florian; bullo, francesco</td></tr><tr><td>Title:</td><td>attack detection and identification in cyber-physical systems</td></tr><tr><td>Source:</td><td>ieee transactions on automatic control, 58(11), 2715-2729</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1109/tac.2013.2266831	-0.9121	-0.214	3	202	315	1542	39.3194	2013	1542	39.3194
76	bedi (2018)	"<table><tr><td>Authors:</td><td>bedi, guneet; venayagamoorthy, ganesh kumar; singh, rajendra; brooks, richard r.; wang, kuang-ching</td></tr><tr><td>Title:</td><td>review of internet of things (iot) in electric power and energy systems</td></tr><tr><td>Source:</td><td>ieee internet of things journal, 5(2), 847-870</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1109/jiot.2018.2802704	0.4788	-0.2259	1	217	324	461	15.5347	2018	461	15.5347
78	xu (2019)	"<table><tr><td>Authors:</td><td>xu, li da; duan, lian</td></tr><tr><td>Title:</td><td>big data for cyber physical systems in industry 4.0: a survey</td></tr><tr><td>Source:</td><td>enterprise information systems, 13(2), 148-169</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1080/17517575.2018.1442934	0.6021	-0.1096	1	187	300	370	13.1054	2019	370	13.1054
80	alzubaidi (2021)	"<table><tr><td>Authors:</td><td>alzubaidi, laith; zhang, jinglan; humaidi, amjad j.; al-dujaili, ayad; duan, ye; al-shamma, omran; santamaría, j.; fadhel, mohammed a.; al-amidie, muthana; farhan, laith</td></tr><tr><td>Title:</td><td>review of deep learning: concepts, cnn architectures, challenges, applications, future directions</td></tr><tr><td>Source:</td><td>journal of big data, 8(1)</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1186/s40537-021-00444-8	1.1423	0.1085	1	108	183	1653	83.019	2021	1653	83.019
81	lin (2017)	"<table><tr><td>Authors:</td><td>lin, jie; yu, wei; zhang, nan; yang, xinyu; zhang, hanlin; zhao, wei</td></tr><tr><td>Title:</td><td>a survey on internet of things: architecture, enabling technologies, security and privacy, and applications</td></tr><tr><td>Source:</td><td>ieee internet of things journal, 4(5), 1125-1142</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1109/jiot.2017.2683200	0.6378	-0.1916	1	259	532	1864	56.7807	2017	1864	56.7807
82	hussain (2020)	"<table><tr><td>Authors:</td><td>hussain, fatima; hussain, rasheed; hassan, syed ali; hossain, ekram</td></tr><tr><td>Title:</td><td>machine learning in iot security: current solutions and future challenges</td></tr><tr><td>Source:</td><td>ieee communications surveys and tutorials, 22(3), 1686-1721</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1109/comst.2020.2986444	0.9367	-0.1304	1	364	953	363	14.8445	2020	363	14.8445
85	sarker (2021b)	"<table><tr><td>Authors:</td><td>sarker, iqbal h.</td></tr><tr><td>Title:</td><td>deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions</td></tr><tr><td>Source:</td><td>sn computer science, 2(6)</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1007/s42979-021-00815-1	1.2681	-0.0165	1	169	484	426	21.3951	2021	426	21.3951
88	babiceanu (2016)	"<table><tr><td>Authors:</td><td>babiceanu, radu f.; seker, remzi</td></tr><tr><td>Title:</td><td>big data and virtualization for manufacturing cyber-physical systems: a survey of the current status and future outlook</td></tr><tr><td>Source:</td><td>computers in industry, 81, 128-137</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.compind.2016.02.004	0.656	-0.1527	1	106	204	377	11.7521	2016	377	11.7521
89	khaitan (2015)	"<table><tr><td>Authors:</td><td>khaitan, siddhartha kumar; mccalley, james d.</td></tr><tr><td>Title:</td><td>design techniques and applications of cyberphysical systems: a survey</td></tr><tr><td>Source:</td><td>ieee systems journal, 9(2), 350-365</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1109/jsyst.2014.2322503	-0.4251	-0.0172	4	373	679	554	14.5567	2015	554	14.5567
90	neshenko (2019)	"<table><tr><td>Authors:</td><td>neshenko, nataliia; bou-harb, elias; crichigno, jorge; kaddoum, georges; ghani, nasir</td></tr><tr><td>Title:</td><td>demystifying iot security: an exhaustive survey on iot vulnerabilities and a first empirical look on internet-scale iot exploitations</td></tr><tr><td>Source:</td><td>ieee communications surveys and tutorials, 21(3), 2702-2733</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1109/comst.2019.2910750	0.7696	-0.2168	1	397	773	427	15.1243	2019	427	15.1243
94	alom (2019)	"<table><tr><td>Authors:</td><td>alom, md zahangir; taha, tarek m.; yakopcic, chris; westberg, stefan; sidike, paheding; nasrin, mst shamima; hasan, mahmudul; van essen, brian c.; awwal, abdul a. s.; asari, vijayan k.</td></tr><tr><td>Title:</td><td>a state-of-the-art survey on deep learning theory and architectures</td></tr><tr><td>Source:</td><td>electronics (switzerland), 8(3)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.3390/electronics8030292	1.1458	0.1095	1	112	232	886	31.3821	2019	886	31.3821
95	anderson (2010)	"<table><tr><td>Authors:</td><td>anderson, catherine l.; agarwal, ritu</td></tr><tr><td>Title:</td><td>practicing safe computing: a multimethod empirical examination of home computer user security behavioral intentions</td></tr><tr><td>Source:</td><td>mis quarterly: management information systems, 34(spec. issue 3), 613-643</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.2307/25750694	0.4905	0.3043	5	19	77	562	13.2229	2010	562	13.2229
98	liu (2012)	"<table><tr><td>Authors:</td><td>liu, jing; xiao, yang; li, shuhui; liang, wei; chen, c.l. philip</td></tr><tr><td>Title:</td><td>cyber security and privacy issues in smart grids</td></tr><tr><td>Source:</td><td>ieee communications surveys and tutorials, 14(4), 981-997</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1109/surv.2011.122111.00145	-0.6095	-0.3315	4	180	265	421	10.146	2012	421	10.146
105	liu (2019b)	"<table><tr><td>Authors:</td><td>liu, jinliang; gu, yuanyuan; zha, lijuan; liu, yajuan; cao, jie</td></tr><tr><td>Title:</td><td>event-triggered h∞ load frequency control for multiarea power systems under hybrid cyber attacks</td></tr><tr><td>Source:</td><td>ieee transactions on systems, man, and cybernetics: systems, 49(8), 1665-1678</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1109/tsmc.2019.2895060	-0.671	0.5728	2	115	259	277	9.8113	2019	277	9.8113
106	urbina (2016a)	"<table><tr><td>Authors:</td><td>urbina, david i.; giraldo, jairo; cardenas, alvaro a.; tippenhauer, nils ole; valente, junia; faisal, mustafa; ruths, justin; candell, richard; sandberg, henrik</td></tr><tr><td>Title:</td><td>limiting the impact of stealthy attacks on industrial control systems</td></tr><tr><td>Source:</td><td>proceedings of the acm conference on computer and communications security, 24-28-october-2016, 1092-1105</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1145/2976749.2978388	-0.6753	0.1707	2	490	1078	266	8.292	2016	266	8.292
113	dehghanpour (2019)	"<table><tr><td>Authors:</td><td>dehghanpour, kaveh; wang, zhaoyu; wang, jianhui; yuan, yuxuan; bu, fankun</td></tr><tr><td>Title:</td><td>a survey on state estimation techniques and challenges in smart distribution systems</td></tr><tr><td>Source:</td><td>ieee transactions on smart grid, 10(2), 2312-2322</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1109/tsg.2018.2870600	-1.165	-0.2459	3	172	330	270	9.5634	2019	270	9.5634
115	sridhar (2014)	"<table><tr><td>Authors:</td><td>sridhar, siddharth; govindarasu, manimaran</td></tr><tr><td>Title:</td><td>model-based attack detection and mitigation for automatic generation control</td></tr><tr><td>Source:</td><td>ieee transactions on smart grid, 5(2), 580-591</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1109/tsg.2014.2298195	-0.3995	-0.1042	4	219	271	345	10.0624	2014	345	10.0624
116	li (2015a)	"<table><tr><td>Authors:</td><td>li, yuzhe; shi, ling; cheng, peng; chen, jiming; quevedo, daniel e.</td></tr><tr><td>Title:</td><td>jamming attacks on remote state estimation in cyber-physical systems: a game-theoretic approach</td></tr><tr><td>Source:</td><td>ieee transactions on automatic control, 60(10), 2831-2836</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1109/tac.2015.2461851	-0.5073	0.2667	2	165	229	344	9.0388	2015	344	9.0388
